name,nat_abbr,wmo_ind,chx,chy,lon,lat,height,climate.region,climate.region.nr,first.year.daily.obs,last.year.daily.obs,nr.years.daily.obs.in.standard.per,nr.na.years.daily.obs.in.standard.per,first.year.hourly.obs,last.year.hourly.obs,nr.years.hourly.obs,nr.na.years.hourly.obs,has.hourly.data
Broc,BRO,NA,2574681.67,1162098.14,7.10815278,46.6096583,682,Western Alpine North- slope,8,1971,2020,50,0,NA,NA,NA,NA,FALSE
Brusio,BRP,NA,2806478.68,1127183.98,10.1172306,46.2643583,856,Alpine south side,12,1961,2014,54,0,2016,2020,5,0,FALSE
Braunwald,BRW,NA,2717942.65,1199650.67,8.98765,46.9374694,1299,Eastern Alpine north slope,6,1961,2020,60,0,2014,2020,6,1,FALSE
Brienz,BRZ,6656,2647552.72,1176803.02,8.06086389,46.7407194,567.15,Western Alpine North- slope,8,1961,2020,60,0,2012,2020,8,1,FALSE
Brissago,BSG,NA,2698199.95,1108388.97,8.70900278,46.1198444,280,Alpine south side,12,1961,2020,60,0,NA,NA,NA,NA,FALSE
Bourg-St-Pierre,BSP,NA,2582154.09,1088270.11,7.20851667,45.9457806,1664,Valais,10,1961,2020,59,1,NA,NA,NA,NA,FALSE
"Buch, SH",BUC,NA,2700944.98,1286038.66,8.78389722,47.7171611,414,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Burgdorf,BUD,NA,2612163.28,1211782.16,7.59873056,47.0569528,534,Central plateau,4,1961,2020,60,0,NA,NA,NA,NA,FALSE
Bülach,BUE,NA,2682028.08,1263776.96,8.52771944,47.5196111,403,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Buffalora,BUF,6778,2816494.06,1170254.99,10.2672,46.6484083,1971,Engadine,11,1961,2020,59,1,1999,2020,21,1,FALSE
Buchs / Aarau,BUS,6633,2648396.43,1248370,8.07955,47.3843806,386.66,Central plateau,4,1984,2020,36,1,1985,2021,37,0,TRUE
Campocologno,CAC,NA,2807969.75,1124285.97,10.1352639,46.2378444,577,Alpine south side,12,1962,2020,59,0,NA,NA,NA,NA,FALSE
Cavaglia,CAV,NA,2799866.35,1138474.79,10.0363667,46.3678694,1707,Alpine south side,12,1962,2020,59,0,NA,NA,NA,NA,FALSE
La Chaux-de-Fonds,CDF,6612,2550919.04,1214861.98,6.79231389,47.0829472,1017.01,Western Jura,2,1961,2020,60,0,1982,2021,40,0,TRUE
Col des Mosses,CDM,6713,2573817.1,1137852.8,7.09823889,46.391525,1412,Western Alpine North- slope,8,1973,2020,48,0,2016,2020,5,0,FALSE
Cevio,CEV,6752,2689688.01,1130564.3,8.60316111,46.3204861,417,Alpine south side,12,1961,2020,59,1,2013,2020,7,1,FALSE
Nyon / Changins,CGI,6705,2506877.56,1139573.56,6.22772222,46.4010528,458.2,Western plateau,5,1966,2020,55,0,1982,2021,40,0,TRUE
Chasseral,CHA,6605,2570845.43,1220157.84,7.05436667,47.1317611,1594.2,Western Jura,2,1981,2020,40,0,1982,2021,40,0,TRUE
Château-d'Oex,CHD,6627,2577040.14,1147654.83,7.13965556,46.4798194,1028,Western Alpine North- slope,8,1961,2020,60,0,2012,2020,8,1,FALSE
Chaumont,CHM,6608,2565060.25,1211006.92,6.978825,47.0491694,1136,Western Jura,2,1961,2020,60,0,2013,2020,7,1,FALSE
Chur,CHU,6786,2759466.63,1193152.63,9.53051111,46.8703667,556,Northern and central Grisons,9,1961,2020,60,0,1982,2021,40,0,TRUE
Chavornay,CHY,NA,2531886.68,1172741.59,6.54799722,46.7024056,439,Western plateau,5,1975,2020,46,0,NA,NA,NA,NA,FALSE
Cham,CHZ,6674,2677758.87,1226878,8.46464167,47.1882778,442.5,Central plateau,4,1993,2020,26,2,1994,2021,27,1,TRUE
Cimetta,CIM,6759,2704433.6,1117457.06,8.79165,46.2004667,1661,Alpine south side,12,1982,2020,39,0,1982,2021,40,0,TRUE
Camedo,CMD,NA,2690295.84,1112206.1,8.60750278,46.1552806,590,Alpine south side,12,1961,2020,60,0,NA,NA,NA,NA,FALSE
Chanéaz,CNZ,NA,2546813.72,1175579.52,6.74284167,46.7292889,758,Western plateau,5,1973,2020,48,0,NA,NA,NA,NA,FALSE
Combe-Garot,COG,NA,2548088.63,1200426.38,6.75669444,46.9528889,629,Western plateau,5,1961,2020,60,0,NA,NA,NA,NA,FALSE
Coldrerio,COL,NA,2721080.12,1079233.53,8.99743056,45.8539139,347,Alpine south side,12,1961,2020,60,0,2015,2020,5,1,FALSE
Acquarossa / Comprovasco,COM,6756,2714985.08,1146450.88,8.93548611,46.4595167,575.32,Alpine south side,12,1961,2020,48,12,1989,2021,33,0,TRUE
Courtepin,COP,NA,2576279.88,1189930.14,7.127575,46.8600778,565,Western plateau,5,1973,2020,48,0,NA,NA,NA,NA,FALSE
Cossonay,COS,NA,2527562.63,1162465.61,6.49308333,46.6095194,590,Western plateau,5,1961,2020,60,0,2014,2020,6,1,FALSE
Couvet,COU,NA,2540606.61,1198345.36,6.65868333,46.9335417,728,Western Jura,2,1961,2020,60,0,2016,2020,4,1,FALSE
Piz Corvatsch,COV,6791,2783155.78,1143524.3,9.82130833,46.4180389,3294.31,Engadine,11,1981,2020,40,0,1982,2021,39,1,TRUE
Courtelary,COY,6710,2573622.81,1225598.18,7.09065556,47.1808111,695,Western Jura,2,1961,2020,60,0,2015,2020,5,1,FALSE
Finhaut,CTA,NA,2564159.22,1103590.34,6.97531111,46.082875,1242,Valais,10,1970,2020,51,0,NA,NA,NA,NA,FALSE
Torricella / Crana,CTO,NA,2712695.26,1103744.91,8.89536667,46.0758083,1002,Alpine south side,12,1961,2020,60,0,2016,2020,4,1,FALSE
La Cure,CUE,NA,2495297.35,1146347.71,6.07563611,46.460275,1185,Western Jura,2,1961,2020,60,0,NA,NA,NA,NA,FALSE
Davos,DAV,6784,2783519.14,1187458.75,9.84355833,46.8129694,1594.16,Northern and central Grisons,9,1961,2020,60,0,1982,2021,40,0,TRUE
Degersheim,DEH,NA,2732600.69,1247599.68,9.19419167,47.3658917,830,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Delémont,DEM,6602,2593269.99,1244543.47,7.34956667,47.3517056,439,Western Jura,2,1961,2020,60,0,2012,2020,8,1,FALSE
Les Diablerets,DIB,NA,2579037.58,1132867.4,7.16633333,46.3468639,1191,Western Alpine North- slope,8,1962,2020,59,0,NA,NA,NA,NA,FALSE
Diessenhofen,DIE,NA,2696732.11,1283138.64,8.72713056,47.6917194,404,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Disentis,DIS,6782,2708190.86,1173793.28,8.85347778,46.7065694,1197.05,Northern and central Grisons,9,1961,2020,60,0,1982,2021,40,0,TRUE
Dietikon,DIT,NA,2672890.95,1251864.94,8.40447222,47.4135583,384,North-eastern plateau,3,1961,2020,60,0,2016,2020,4,1,FALSE
Dischma,DMA,NA,2786600.94,1182989.82,9.88209167,46.7719333,1710,Northern and central Grisons,9,1974,2020,47,0,NA,NA,NA,NA,FALSE
Benken / Doggen,DOB,NA,2715387.8,1227539.78,8.96121111,47.1887333,408,Eastern Alpine north slope,6,1962,2020,58,1,2013,2020,8,0,FALSE
La Dôle,DOL,6702,2497059.38,1142372.52,6.09945278,46.4247944,1669.75,Western Jura,2,1974,2020,47,0,1982,2021,39,1,TRUE
Ebnat-Kappel,EBK,6693,2726347.8,1237176.32,9.10849444,47.2733889,623.2,Eastern Alpine north slope,6,1961,2020,60,0,2010,2020,10,1,FALSE
Echallens,ECH,NA,2537462.67,1166422.54,6.62176389,46.6461111,602,Western plateau,5,1961,2020,60,0,NA,NA,NA,NA,FALSE
Effretikon,EFF,NA,2695336.93,1254991.82,8.70251389,47.4388111,478,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Lachen / Eggen,EGL,NA,2762030.36,1255899.58,9.58666111,47.4339361,930,Eastern Alpine north slope,6,1973,2020,45,3,NA,NA,NA,NA,FALSE
Egolzwil,EGO,6648,2642913.26,1225540.78,8.00475833,47.1794278,521.9,Central plateau,4,1975,2020,46,0,2010,2020,10,1,FALSE
Eggersriet,EGR,NA,2753060.55,1256196.58,9.46790278,47.4387528,770,North-eastern plateau,3,1976,2020,45,0,2019,2020,1,1,FALSE
Escholzmatt,EHM,NA,2637850.48,1194828.01,7.93540556,46.9034806,840,Central Alpine north slope,7,1961,2020,60,0,NA,NA,NA,NA,FALSE
Einsiedeln,EIN,6675,2699983.7,1221068.3,8.75655556,47.1330417,910.7,Central Alpine north slope,7,1961,2020,60,0,2012,2020,8,1,FALSE
Eigenthal,EIT,NA,2659340.76,1203879.96,8.21862222,46.9833306,1114,Central Alpine north slope,7,1961,2020,60,0,NA,NA,NA,NA,FALSE
Eschlikon,EKO,NA,2715699.81,1256835.75,8.97288333,47.4521306,578,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Elm,ELM,6682,2732265.6,1198424.3,9.17534722,46.9237417,957.6,Eastern Alpine north slope,6,1961,2020,60,0,2011,2020,9,1,FALSE
Engelberg,ENG,6655,2674161.61,1186069.27,8.41051389,46.8216389,1035.66,Central Alpine north slope,7,1961,2020,60,0,1983,2021,39,0,TRUE
Entlebuch,ENT,NA,2647935.6,1204164.94,8.06874722,46.9868139,768,Central Alpine north slope,7,1961,2020,60,0,2014,2020,6,1,FALSE
Eptingen,EPT,NA,2628720.51,1248410.24,7.81898889,47.3858944,565,Eastern Jura,1,1961,2020,60,0,NA,NA,NA,NA,FALSE
Erlenbach im Simmental,ERB,NA,2606536.85,1167474.85,7.52404167,46.6584722,732,Western Alpine North- slope,8,1970,2020,51,0,NA,NA,NA,NA,FALSE
Eriswil,ERI,NA,2631275.48,1214794.09,7.85048889,47.0834167,729,Central plateau,4,1973,2020,48,0,NA,NA,NA,NA,FALSE
Eschenz,ESZ,NA,2707865.96,1278226.6,8.87421111,47.6458111,414,North-eastern plateau,3,1961,2020,60,0,2013,2020,8,0,FALSE
Euthal,EUT,NA,2704729.75,1217362.82,8.81824444,47.0989806,910,Central Alpine north slope,7,1974,2020,47,0,NA,NA,NA,NA,FALSE
Evolène / Villa,EVO,6722,2605411.5,1106748.15,7.50863056,46.1122111,1825,Valais,10,1986,2020,34,1,1987,2021,35,0,TRUE
Fahy,FAH,6616,2562464.75,1252675.74,6.94119444,47.4238139,596.39,Eastern Jura,1,1961,2020,60,0,1982,2021,40,0,TRUE
Filisur,FIL,NA,2772250.92,1171319.68,9.68990556,46.6708639,1030,Northern and central Grisons,9,1961,2020,60,0,NA,NA,NA,NA,FALSE
Flims,FLI,NA,2740720.69,1188599.76,9.28329444,46.8336556,1050,Northern and central Grisons,9,1962,2020,59,0,NA,NA,NA,NA,FALSE
"Flühli, LU",FLU,6652,2644332.93,1193311.28,8.02033611,46.8894361,939.75,Central Alpine north slope,7,1961,2014,54,0,2015,2020,5,1,FALSE
Flawil,FLW,NA,2733136.69,1252977.72,9.20288611,47.4141417,571,North-eastern plateau,3,1961,2020,60,0,2015,2020,5,1,FALSE
Fruence,FRC,NA,2558813.1,1152867,6.90184722,46.5258306,810,Western plateau,5,1978,2020,43,0,NA,NA,NA,NA,FALSE
Bullet / La Frétaz,FRE,6619,2534225.12,1188081.79,6.57636944,46.8406222,1205.43,Western Jura,2,1979,2020,42,0,1982,2021,40,0,TRUE
Frauenfeld,FRF,NA,2709480.92,1270169.63,8.89371111,47.5730972,393,North-eastern plateau,3,1961,2020,60,0,NA,NA,NA,NA,FALSE
Frick,FRI,NA,2643355.73,1262700.29,8.01418889,47.5136167,345,Eastern Jura,1,1961,2020,60,0,NA,NA,NA,NA,FALSE
Frutigen,FRU,6613,2616773.49,1160883.78,7.65754167,46.5990028,756,Western Alpine North- slope,8,1961,2020,59,1,2015,2020,5,1,FALSE
Gadmen,GAD,NA,2669750.53,1176609.69,8.35126944,46.7370306,1190,Western Alpine North- slope,8,1961,2020,60,0,NA,NA,NA,NA,FALSE
Genève / Aïre,GEA,NA,2495934.35,1116925.2,6.09050833,46.1957417,376,Western plateau,5,1969,2020,52,0,NA,NA,NA,NA,FALSE
"Gempen, SO",GEP,NA,2616260.53,1260400.49,7.65441667,47.4941611,585,Eastern Jura,1,1970,2020,51,0,NA,NA,NA,NA,FALSE
Grosshöchstetten,GHS,NA,2616015.15,1194884.94,7.64883333,46.9048778,755,Central plateau,4,1961,2020,60,0,NA,NA,NA,NA,FALSE
